200924-1312-111.ink_61270,\sum
101_leo_271,\sum
MfrDB1263_68227,\sum
2009210-947-4.ink_51039,\sum
200923-1253-77.ink_57757,\sum
200923-1253-7.ink_57727,\sum
MfrDB3044_79853,\sum
200922-947-175.ink_54841,\sum
MfrDB3172_81576,\sum
200926-1617-103.ink_64686,\sum
2009210-947-157.ink_50779,\sum
2009210-947-235.ink_50960,\sum
200923-1251-57.ink_56833,\sum
2011_IVC_depart_F036_E048_35344,\sum
2011_IVC_depart_F021_E036_24501,\sum
200923-1553-176.ink_59771,\sum
MfrDB3378_83676,\sum
200926-131-4.ink_63886,\sum
200922-1017-6.ink_54411,\sum
200926-131-246.ink_63823,\sum
2009212-1031-19.ink_51419,\sum
200922-947-219.ink_54935,\sum
200923-1253-128.ink_57119,\sum
200923-1251-216.ink_56548,\sum
200923-131-266.ink_59190,\sum
2009212-1031-151.ink_51403,\sum
200924-1312-276.ink_61739,\sum
200923-1253-53.ink_57667,\sum
2011_IVC_depart_F014_E001_19470,\sum
200926-1617-7.ink_65252,\sum
200923-1253-218.ink_57385,\sum
MfrDB3107_80587,\sum
2009213-139-104.ink_52909,\sum
200924-1331-191.ink_62406,\sum
2011_IVC_depart_F001_E032_10548,\sum
200923-1556-3.ink_60860,\sum
MfrDB2026_73976,\sum
200923-1254-274.ink_58213,\sum
124_Fabricio_3503,\sum
2011_IVC_depart_F017_E069_22061,\sum
MfrDB3160_81357,\sum
MfrDB3309_83219,\sum
2011_IVC_depart_F013_E049_19220,\sum
MfrDB2935_78303,\sum
200923-1556-126.ink_60442,\sum
MfrDB3172_81583,\sum
MfrDB0110_66851,\sum
200923-1553-306.ink_60125,\sum
MfrDB3103_80561,\sum
MfrDB1571_70293,\sum
2009213-139-69.ink_53377,\sum
200923-1253-213.ink_57372,\sum
200923-1553-263.ink_60018,\sum
200926-1550-65.ink_64509,\sum
2009213-137-77.ink_52769,\sum
2011_IVC_depart_F011_E034_17663,\sum
MfrDB3158_81335,\sum
101_leissi_246,\sum
200923-1553-313.ink_60146,\sum
2009213-137-6.ink_52659,\sum
200923-131-135.ink_58885,\sum
200923-1251-69.ink_56889,\sum
200924-1312-168.ink_61427,\sum
MfrDB3311_83247,\sum
2011_IVC_depart_F008_E032_15395,\sum
200925-1126-9.ink_63472,\sum
MfrDB1214_67936,\sum
200923-131-134.ink_58880,\sum
200923-131-207.ink_59054,\sum
2009212-952-7.ink_51959,\sum
200923-1251-35.ink_56756,\sum
2011_KME2_w6_e30_41848,\sum
MfrDB3532_85120,\sum
200926-1617-65.ink_65242,\sum
200923-1254-140.ink_57940,\sum
2011_KME2_w17_e30_39213,\sum
124_carlos_3405,\sum
MfrDB2821_77046,\sum
124_daniel_3445,\sum
200926-1617-198.ink_64962,\sum
200926-1550-6.ink_64451,\sum
200922-949-103.ink_55427,\sum
200925-1126-174.ink_63088,\sum
2011_IVC_depart_F037_E047_35913,\sum
MfrDB3044_79851,\sum
MfrDB3121_80798,\sum
2009212-1031-93.ink_51545,\sum
200922-949-144.ink_55557,\sum
200926-131-190.ink_63709,\sum
124_alfonso_3384,\sum
MfrDB0045_65979,\sum
MfrDB3152_81232,\sum
200922-1017-17.ink_54162,\sum
200922-949-151.ink_55580,\sum
101_mijail_305,\sum
200923-131-111.ink_58816,\sum
200923-1254-189.ink_58018,\sum
118_caue_3161,\sum
200923-1254-352.ink_58407,\sum
101_jorge_225,\sum
200923-1253-27.ink_57524,\sum
2011_IVC_depart_F021_E059_24705,\sum
2011_KME2_w7_e30_41996,\sum
2011_KME2_w1_e30_38064,\sum
200923-1556-211.ink_60681,\sum
MfrDB2974_78845,\sum
2011_IVC_depart_F032_E014_32189,\sum
200923-1254-343.ink_58384,\sum
200926-1617-125.ink_64771,\sum
200923-1254-321.ink_58326,\sum
2011_KME2_w22_e30_40101,\sum
2009213-139-35.ink_53283,\sum
200923-1253-129.ink_57124,\sum
2009212-1031-131.ink_51360,\sum
MfrDB1520_69841,\sum
200923-1553-176.ink_59777,\sum
2011_IVC_depart_F003_E017_11687,\sum
200923-1251-7.ink_56902,\sum
200923-1254-249.ink_58168,\sum
200926-131-76.ink_64014,\sum
MfrDB0004_65423,\sum
2011_IVC_depart_F030_E038_31025,\sum
200923-1253-197.ink_57346,\sum
MfrDB3412_84086,\sum
101_user0_366,\sum
118_edwin_3189,\sum
200923-1254-240.ink_58153,\sum
200926-1550-112.ink_64125,\sum
MfrDB0012_65538,\sum
MfrDB1125_67797,\sum
2011_IVC_depart_F002_E054_11338,\sum
MfrDB3494_84817,\sum
200923-1254-190.ink_58031,\sum
2011_IVC_depart_F013_E024_19022,\sum
2011_KME2_w10_e30_38211,\sum
2009212-1031-132.ink_51367,\sum
2009213-139-59.ink_53347,\sum
MfrDB2991_79110,\sum
200926-1550-7.ink_64549,\sum
MfrDB0109_66839,\sum
200923-1556-6.ink_61021,\sum
200923-1254-159.ink_57967,\sum
MfrDB3251_82580,\sum
200923-1254-238.ink_58132,\sum
MfrDB1516_69804,\sum
200923-131-6.ink_59495,\sum
200923-1553-201.ink_59875,\sum
200923-131-291.ink_59250,\sum
2011_IVC_depart_F025_E038_27528,\sum
2009210-947-211.ink_50910,\sum
200923-1556-215.ink_60689,\sum
MfrDB2027_74001,\sum
200926-1617-176.ink_64900,\sum
118_alfonso_3133,\sum
200925-1126-143.ink_63005,\sum
2009212-952-3.ink_51732,\sum
